frame_id,round_id,model_type,total_time_ms,forward_time_ms,postprocess_time_ms,data_to_gpu_time_ms,success,skip_reason
0,1,baseline,678.404,561.269,111.748,5.388,True,
1,1,baseline,19.639,11.213,3.833,4.594,True,
2,1,baseline,18.029,10.574,3.738,3.716,True,
3,1,baseline,26.858,18.727,4.486,3.644,True,
4,1,baseline,18.688,11.038,3.917,3.732,True,
5,1,baseline,19.718,10.991,3.925,4.802,True,
6,1,baseline,19.163,11.513,3.858,3.793,True,
7,1,baseline,18.845,11.237,3.752,3.856,True,
8,1,baseline,17.733,10.539,3.446,3.749,True,
9,1,baseline,19.452,10.442,3.403,5.607,True,
10,1,baseline,26.543,18.041,3.314,5.187,True,
11,1,baseline,31.237,17.635,3.406,10.195,True,
12,1,baseline,17.198,10.397,3.314,3.487,True,
13,1,baseline,21.845,13.915,3.512,4.418,True,
14,1,baseline,86.46,76.985,3.987,5.489,True,
15,1,baseline,22.572,12.247,4.182,6.142,True,
16,1,baseline,20.94,11.712,3.896,5.331,True,
17,1,baseline,25.963,14.938,3.791,7.234,True,
18,1,baseline,21.07,11.776,3.805,5.489,True,
19,1,baseline,22.226,12.522,3.979,5.725,True,
20,1,baseline,26.16,14.67,4.028,7.462,True,
21,1,baseline,91.785,79.013,3.881,8.892,True,
22,1,baseline,38.338,19.351,4.197,14.79,True,
23,1,baseline,22.515,12.902,3.811,5.801,True,
24,1,baseline,22.779,12.079,4.786,5.914,True,
25,1,baseline,22.849,11.856,3.776,7.217,True,
26,1,baseline,21.09,11.638,3.784,5.668,True,
27,1,baseline,38.355,28.856,3.811,5.688,True,
28,1,baseline,32.462,17.526,3.858,11.078,True,
29,1,baseline,22.52,11.668,3.737,7.115,True,
30,1,baseline,23.697,13.835,4.09,5.772,True,
31,1,baseline,22.534,12.834,4.193,5.508,True,
32,1,baseline,23.009,13.218,4.016,5.774,True,
33,1,baseline,23.417,11.905,4.009,7.503,True,
34,1,baseline,23.223,13.036,4.179,6.008,True,
35,1,baseline,23.078,13.213,4.159,5.705,True,
36,1,baseline,22.847,13.088,3.89,5.869,True,
37,1,baseline,24.554,13.022,4.14,7.392,True,
38,1,baseline,33.506,17.923,3.791,11.793,True,
39,1,baseline,28.146,18.215,4.02,5.911,True,
40,1,baseline,22.321,12.626,3.849,5.846,True,
41,1,baseline,23.323,11.886,4.096,7.341,True,
42,1,baseline,21.821,12.068,4.012,5.741,True,
43,1,baseline,23.392,13.436,4.014,5.942,True,
44,1,baseline,23.711,13.928,4.082,5.701,True,
45,1,baseline,23.709,11.942,4.395,7.372,True,
46,1,baseline,21.525,11.709,3.752,6.064,True,
47,1,baseline,23.171,12.908,3.993,6.27,True,
48,1,baseline,36.93,26.733,4.234,5.962,True,
49,1,baseline,36.473,17.765,5.021,13.686,True,
50,1,baseline,45.809,23.954,9.995,11.861,True,
51,1,baseline,45.38,23.52,10.096,11.764,True,
52,1,baseline,28.126,18.465,4.099,5.562,True,
53,1,baseline,22.818,11.742,3.808,7.267,True,
54,1,baseline,22.185,12.639,3.737,5.81,True,
55,1,baseline,25.747,14.709,4.74,6.297,True,
56,1,baseline,21.424,12.144,3.841,5.438,True,
57,1,baseline,22.38,11.727,3.679,6.974,True,
58,1,baseline,21.32,11.82,3.746,5.754,True,
59,1,baseline,22.364,12.688,3.994,5.683,True,
60,1,baseline,39.485,28.989,4.677,5.82,True,
61,1,baseline,43.945,18.267,12.351,13.327,True,
62,1,baseline,44.964,23.173,9.929,11.862,True,
63,1,baseline,44.747,28.852,9.944,5.951,True,
64,1,baseline,27.608,15.49,5.29,6.828,True,
65,1,baseline,25.467,13.34,4.536,7.591,True,
66,1,baseline,26.411,14.598,4.761,7.052,True,
67,1,baseline,23.682,13.008,4.062,6.612,True,
68,1,baseline,22.855,12.171,5.196,5.489,True,
69,1,baseline,23.523,12.276,3.927,7.32,True,
70,1,baseline,21.87,12.072,3.92,5.878,True,
71,1,baseline,24.039,13.161,4.492,6.387,True,
72,1,baseline,21.845,11.996,3.88,5.969,True,
73,1,baseline,78.437,66.935,4.137,7.365,True,
74,1,baseline,21.72,11.95,3.921,5.849,True,
75,1,baseline,22.744,12.298,4.638,5.808,True,
76,1,baseline,24.693,14.556,4.337,5.8,True,
77,1,baseline,25.159,13.202,4.21,7.747,True,
78,1,baseline,22.068,12.25,3.909,5.91,True,
79,1,baseline,22.087,12.112,3.87,6.106,True,
80,1,baseline,22.171,12.187,3.958,6.025,True,
81,1,baseline,34.733,17.67,3.876,13.187,True,
82,1,baseline,37.201,27.163,4.173,5.865,True,
83,1,baseline,27.792,12.017,3.903,11.872,True,
84,1,baseline,28.94,19.179,3.903,5.858,True,
85,1,baseline,23.84,12.317,4.393,7.131,True,
86,1,baseline,21.531,12.131,3.883,5.516,True,
87,1,baseline,20.964,11.598,3.83,5.536,True,
88,1,baseline,27.566,11.702,4.163,11.701,True,
89,1,baseline,23.229,12.041,3.869,7.319,True,
90,1,baseline,40.065,18.286,15.943,5.837,True,
91,1,baseline,22.516,12.643,4.028,5.844,True,
92,1,baseline,21.584,12.066,3.792,5.726,True,
93,1,baseline,23.523,12.202,3.844,7.477,True,
94,1,baseline,23.202,13.206,4.175,5.821,True,
95,1,baseline,23.746,13.03,4.366,6.35,True,
96,1,baseline,23.882,13.381,4.032,6.469,True,
97,1,baseline,24.065,12.048,3.872,8.146,True,
98,1,baseline,29.366,19.838,3.796,5.732,True,
99,1,baseline,21.08,11.598,3.863,5.619,True,
