model,candidate,profile,structure_kind,accuracy_class,mAP,delta_structure_same_profile,p50_ms,structure_speedup,neighbor_control_advantage,build_repeat_stable,search_space_candidate
lidar_cobevt,lidar_cobevt__B0,P32,baseline,SAFE,0.6448911516866015,0.0,5.288375973701477,1.0,,,false
lidar_cobevt,lidar_cobevt__B0,P16,baseline,SAFE,0.6444574423344261,0.0,3.8880800008773804,1.0,,,false
lidar_cobevt,lidar_cobevt__B0,P8,baseline,SAFE,0.6439178079549821,0.0,3.212631940841675,1.0,,,false
lidar_cobevt,lidar_cobevt__cobevt_window_h8_d32__dh_016,P32,single_family,SAFE,0.6419748391352682,-0.002916312551333289,5.118912220001221,1.0331054228744356,false,,false
lidar_cobevt,lidar_cobevt__cobevt_window_h8_d32__dh_016,P16,single_family,SAFE,0.6421155370292952,-0.002341905305130898,3.7611520290374756,1.0337470995216291,true,true,true
lidar_cobevt,lidar_cobevt__cobevt_window_h8_d32__dh_016,P8,single_family,SAFE,0.642331702599392,-0.0015861053555901172,3.1733760833740234,1.0123703766702348,false,,false
lidar_cobevt,C1,P32,joint,SAFE,0.6428508386688786,-0.0020403130177228945,5.319551944732666,0.9941393614809874,,,false
lidar_cobevt,C1,P16,joint,SAFE,0.6427553746658532,-0.0017020676685729486,3.7827839851379395,1.0278355877980703,,true,false
lidar_cobevt,C1,P8,joint,SAFE,0.6426052704336812,-0.0013125375213008939,3.1252479553222656,1.0279606568082367,,true,false
lidar_v2xvit,lidar_v2xvit__B0,P32,baseline,SAFE,0.6582005975380559,0.0,25.381288051605225,1.0,,,false
lidar_v2xvit,lidar_v2xvit__B0,P16,baseline,SAFE,0.6580972744441644,0.0,21.94382381439209,1.0,,,false
lidar_v2xvit,lidar_v2xvit__B0,P8,baseline,SAFE,0.6584481562599063,0.0,21.162039756774902,1.0,,,false
lidar_v2xvit,lidar_v2xvit__v2xvit_agent_relation_h8_d32__dh_024,P32,single_family,SAFE,0.6566290111351741,-0.0015715864028817972,18.868223190307617,1.3451869736543762,false,true,false
lidar_v2xvit,lidar_v2xvit__v2xvit_agent_relation_h8_d32__dh_024,P16,single_family,SAFE,0.6565347730076837,-0.0015625014364807344,15.628288269042969,1.40410923043051,false,true,false
lidar_v2xvit,lidar_v2xvit__v2xvit_agent_relation_h8_d32__dh_024,P8,single_family,SAFE,0.6564663546855147,-0.0019818015743915396,14.935040473937988,1.4169388957266758,false,true,false
lidar_v2xvit,V1,P32,joint,BORDERLINE,0.6540278891140032,-0.004172708424052707,18.62246322631836,1.362939356794374,,,false
lidar_v2xvit,V1,P16,joint,BORDERLINE,0.6540749086565851,-0.004022365787579307,15.68665599822998,1.3988847474482862,,,false
lidar_v2xvit,V1,P8,joint,BORDERLINE,0.6542682967219543,-0.004179859537951969,14.7467679977417,1.4350290016100904,,,false
