model,family,d_h,profile,fixed500_mAP,delta_mAP_vs_same_profile_baseline,p50_ms,mean_ms,p50_reduction_ratio,speedup_vs_same_profile_baseline,repeat_p50_cv,baseline_replay_drift,latency_beneficial,accuracy_class,search_space_candidate,platform
lidar_cobevt,baseline,32,P16,0.644457442,0.000000000,3.857312,3.859705,0.000000,1.000000,0.000591,0.007193,false,SAFE,false,RTX4090_SM89_TRT10.9
lidar_cobevt,cobevt_grid_h8_d32,8,P16,0.629553511,-0.014903931,3.677184,3.679647,0.046698,1.048985,0.002802,0.007193,true,UNSAFE,false,RTX4090_SM89_TRT10.9
lidar_cobevt,cobevt_grid_h8_d32,16,P16,0.639921318,-0.004536124,3.740416,3.741179,0.030307,1.031252,0.000484,0.007193,true,BORDERLINE,false,RTX4090_SM89_TRT10.9
lidar_cobevt,cobevt_window_h8_d32,8,P16,0.611507094,-0.032950348,3.706192,3.709513,0.039185,1.040775,0.000375,0.007193,true,UNSAFE,false,RTX4090_SM89_TRT10.9
lidar_cobevt,cobevt_window_h8_d32,16,P16,0.642115537,-0.002341905,3.752768,3.754508,0.027103,1.027858,0.000102,0.007193,true,SAFE,true,RTX4090_SM89_TRT10.9
lidar_v2xvit,baseline,32,P16,0.658097274,0.000000000,21.944321,21.945480,0.000000,1.000000,0.000055,0.000140,false,SAFE,false,RTX4090_SM89_TRT10.9
lidar_v2xvit,v2xvit_agent_relation_h8_d32,8,P16,0.594418594,-0.063678680,7.649280,7.650089,0.651424,2.868809,0.000056,0.000140,true,UNSAFE,false,RTX4090_SM89_TRT10.9
lidar_v2xvit,v2xvit_agent_relation_h8_d32,16,P16,0.644260017,-0.013837257,10.826752,10.827474,0.506629,2.026861,0.000040,0.000140,true,UNSAFE,false,RTX4090_SM89_TRT10.9
lidar_v2xvit,v2xvit_spatial_window_w16_h4_d64,8,P16,0.638742957,-0.019354317,21.715856,21.716007,0.010411,1.010521,0.000019,0.000140,true,UNSAFE,false,RTX4090_SM89_TRT10.9
lidar_v2xvit,v2xvit_spatial_window_w16_h4_d64,16,P16,0.644592019,-0.013505256,21.784544,21.784746,0.007281,1.007334,0.000049,0.000140,false,UNSAFE,false,RTX4090_SM89_TRT10.9
lidar_v2xvit,v2xvit_spatial_window_w16_h4_d64,32,P16,0.653777030,-0.004320245,21.883904,21.885583,0.002753,1.002761,0.000019,0.000140,false,BORDERLINE,false,RTX4090_SM89_TRT10.9
lidar_v2xvit,v2xvit_spatial_window_w4_h16_d16,8,P16,0.655289145,-0.002808130,21.934080,21.936156,0.000467,1.000467,0.000183,0.000140,false,SAFE,false,RTX4090_SM89_TRT10.9
lidar_v2xvit,v2xvit_spatial_window_w8_h8_d32,8,P16,0.647232724,-0.010864551,21.749760,21.751986,0.008866,1.008945,0.000060,0.000140,false,UNSAFE,false,RTX4090_SM89_TRT10.9
lidar_v2xvit,v2xvit_spatial_window_w8_h8_d32,16,P16,0.651389105,-0.006708170,21.909504,21.911031,0.001587,1.001589,0.000048,0.000140,false,BORDERLINE,false,RTX4090_SM89_TRT10.9
