model,search_method,bops_budget_target,actual_bops_retention,bops_compression_x,fp32_parameter_count,candidate_parameter_count,parameter_pruning_rate,parameter_compression_x,mixed_weight_retention_vs_fp32,mixed_weight_compression_x,fp32_AP30,fp32_AP50,fp32_AP70,fp32_mAP,candidate_AP30,candidate_AP50,candidate_AP70,candidate_mAP,delta_AP30,delta_AP50,delta_AP70,delta_mAP,fp32_forward_mean_ms,candidate_forward_mean_ms,speedup_mean_x,fp32_forward_p50_ms,candidate_forward_p50_ms,speedup_p50_x,fp32_forward_p90_ms,candidate_forward_p90_ms,speedup_p90_x,evaluated_frames,skipped_frames,candidate_hash,source_run
F-Cooper,Greedy,0.05,0.054861489683389664,18.22772231981095,8058388,5856084,0.2732933683510895,1.3760711082696218,0.21860633790493011,4.574432789020467,0.6872050577953887,0.5843332964176807,0.4060625459478307,0.5592003000536333,0.6848102279398178,0.5809396311216832,0.40340323888227886,0.55638436598126,-0.0023948298555708236,-0.0033936652959974944,-0.0026593070655518414,-0.0028159340723733495,6.177945116875637,2.048989685360937,3.0151177241223492,6.141200351218383,2.0401966758072376,3.0101021259573004,6.273413465047876,2.157018488893906,2.908372597336803,1789,0,c30e4822a8d838a4af92fd74a7796fdafccc7b6fd22d298cfe8d8a1ea1a69206,outputs/h800_heal_lidar_fcooper_runtime_graph_joint_greedy_20260722_135143
F-Cooper,Greedy,0.1,0.10466206818819046,9.55455990227446,8058388,5973504,0.25872221590720124,1.3490219475872118,0.31112098693847656,3.214183684104048,0.6872050577953887,0.5843332964176807,0.4060625459478307,0.5592003000536333,0.6864940769012815,0.5843168536954998,0.40575512665726116,0.5588553524180142,-0.0007109808941071494,-1.6442722180931568e-05,-0.00030741929056954387,-0.00034494763561909725,6.177945116875637,2.2799226512914847,2.709716978063304,6.141200351218383,2.2667679780473313,2.7092320037574447,6.273413465047876,2.3696578573435545,2.6473920889493003,1789,0,eb55ecc6f8dfc28835369ec8312359054c1ea42c523d6f682ef2a26230d3f50f,outputs/h800_heal_lidar_fcooper_runtime_graph_joint_greedy_20260722_135143
F-Cooper,Greedy,0.15,0.15441396832466125,6.476098055439271,8058388,6327028,0.21485190338315807,1.273645066846551,0.3982456624507904,2.511012910588991,0.6872050577953887,0.5843332964176807,0.4060625459478307,0.5592003000536333,0.6866088096030727,0.584326867469897,0.4051761922164493,0.5587039564298064,-0.0005962481923159624,-6.428947783687633e-06,-0.0008863537313814063,-0.0004963436238268892,6.177945116875637,2.4722870981998537,2.4988785167280874,6.141200351218383,2.4625133567800126,2.4938749405398672,6.273413465047876,2.567587187513709,2.443310784364311,1789,0,3a3125855154d6d336e2a4327f374ae0552a8a97a02b2af622cc6fc25df74f34,outputs/h800_heal_lidar_fcooper_runtime_graph_joint_greedy_20260722_135143
F-Cooper,Greedy,0.2,0.20074160397052768,4.981528393819237,8058388,6425348,0.20265095202663364,1.2541558838525166,0.4183963239192962,2.390078360709709,0.6872050577953887,0.5843332964176807,0.4060625459478307,0.5592003000536333,0.6871652945262628,0.5844005751039422,0.40607796906399773,0.5592146128980676,-3.976326912580319e-05,6.727868626144051e-05,1.5423116167034845e-05,1.4312844434316574e-05,6.177945116875637,3.4134742239993727,1.809870153241495,6.141200351218383,3.399509393299619,1.8064960677333601,6.273413465047876,3.4936934399108095,1.795639363597978,1789,0,b952c41f09b8e3b13bfee9d198abf2d6d8c0f5f8a6941a3e899d4b25b7f85e54,outputs/h800_heal_lidar_fcooper_runtime_graph_joint_greedy_20260722_135143
F-Cooper,Greedy,0.25,0.24998176097869873,4.000291845632735,8058388,6493284,0.19422048181348428,1.2410342747983918,0.4799556136131286,2.0835260003981464,0.6872050577953887,0.5843332964176807,0.4060625459478307,0.5592003000536333,0.6871829295726878,0.5843769997571918,0.40604790144490294,0.5592026102582609,-2.2128222700867894e-05,4.3703339511091954e-05,-1.4644502927763092e-05,2.3102046275980115e-06,6.177945116875637,3.610760823464136,1.7109815407126758,6.141200351218383,3.6053479804346957,1.7033585619321938,6.273413465047876,3.692438236127297,1.6989894112968449,1789,0,c23a54896d360ecc8800f049244e702d6642e7ed9ab81f4ff2798e60aac9dc17,outputs/h800_heal_lidar_fcooper_runtime_graph_joint_greedy_20260722_135143
F-Cooper,Greedy,0.3,0.3013514280319214,3.318384805842276,8058388,6442332,0.20054333447334627,1.2508495370930899,0.46000015735626226,2.1739122998288827,0.6872050577953887,0.5843332964176807,0.4060625459478307,0.5592003000536333,0.6872734060970551,0.5844916501683157,0.4064048416109239,0.5593899659587649,6.834830166646544e-05,0.00015835375063499857,0.00034229566309318393,0.00018966590513158632,6.177945116875637,4.1137975186820315,1.5017620796404467,6.141200351218383,4.105236769343416,1.495943034779111,6.273413465047876,4.200709378346801,1.4934176349797361,1789,0,d07b2e41ec311d6a948f52ac07215f21346246d106d9a45d35542e6fa4c48082,outputs/h800_heal_lidar_fcooper_runtime_graph_joint_greedy_20260722_135143
F-Cooper,GA,0.05,0.05491723120212555,18.209221006052747,8058388,5861708,0.2725954620204438,1.3747508405399929,0.23211205005645752,4.308264046423984,0.6870996757550174,0.5845522057384829,0.40583638891245827,0.5591627568019862,0.6844854594826232,0.5811706173809579,0.4051606009721419,0.5569388926119077,-0.002614216272394221,-0.0033815883575250005,-0.0006757879403163636,-0.002223864190078584,6.338389647212861,2.490935320203292,2.544582187985342,6.297999682525794,2.33163273272415,2.7011113689279704,6.4753507884840165,2.753836490834753,2.351392615369544,1789,0,5f75c6951ae98899963e0ff2464f545d0c1f50b548b9b95e6c2a7d6a39ce3dee,outputs/h800_heal_lidar_fcooper_runtime_graph_joint_ga_20260723_043415
F-Cooper,GA,0.1,0.10468598455190659,9.552377085436577,8058388,6079960,0.24551163334403858,1.325401482904493,0.36886921525001526,2.7109879563199972,0.6870996757550174,0.5845522057384829,0.40583638891245827,0.5591627568019862,0.687248841988986,0.5850741352883696,0.4063552821808104,0.5595594198193886,0.00014916623396854511,0.0005219295498867238,0.0005188932683521386,0.00039666301740237664,6.338389647212861,2.604436998487904,2.4336889895562197,6.297999682525794,2.495021947349111,2.524226165311787,6.4753507884840165,2.850694317991535,2.271499524735519,1789,0,16d41f79f5dc587207dff5280985760a7072aaf3a0da6ea4d224cc42d77e5ed4,outputs/h800_heal_lidar_fcooper_runtime_graph_joint_ga_20260723_043415
F-Cooper,GA,0.15,0.15431858599185944,6.480100848336905,8058388,6339248,0.21333547106443618,1.2711898950790377,0.3989414870738983,2.5066332592648206,0.6870996757550174,0.5845522057384829,0.40583638891245827,0.5591627568019862,0.6867799554268617,0.5847743333190146,0.40600507900252897,0.559186455916135,-0.00031972032815574813,0.0002221275805317502,0.00016869009007070002,2.369911414878967e-05,6.338389647212861,2.8717410016665417,2.2071592262444764,6.297999682525794,2.7514692240705094,2.288958796060443,6.4753507884840165,3.1606897401312986,2.0487144645253994,1789,0,5de124838f29b9bed1f78b6a0586d62e3a025eed4572888371e2644455077039,outputs/h800_heal_lidar_fcooper_runtime_graph_joint_ga_20260723_043415
F-Cooper,GA,0.2,0.20354269444942474,4.912974168416912,8058388,6457860,0.1986163982176088,1.2478418547320629,0.4359754621982574,2.2937070700214215,0.6870996757550174,0.5845522057384829,0.40583638891245827,0.5591627568019862,0.6871272243731446,0.5842915123786502,0.4059224526822619,0.5591137298113522,2.7548618127148927e-05,-0.0002606933598326977,8.606376980363484e-05,-4.9026990634026824e-05,6.338389647212861,3.7927369528384305,1.671191470969085,6.297999682525794,3.708231340472897,1.6983837048641721,6.4753507884840165,4.0277339828511085,1.607690779990469,1789,0,90c0fd778e6de32d67a1ef93b81987a1b3aff015a59a2c5178022c4fb3d27174,outputs/h800_heal_lidar_fcooper_runtime_graph_joint_ga_20260723_043415
F-Cooper,GA,0.25,0.24875567853450775,4.02000873262991,8058388,6566360,0.18515216690980874,1.2272229972161137,0.5349514484405518,1.8693285211492017,0.6870996757550174,0.5845522057384829,0.40583638891245827,0.5591627568019862,0.6871140017617128,0.5845186780564449,0.40619180479719946,0.5592748282051191,1.4326006695375426e-05,-3.352768203801482e-05,0.0003554158847411948,0.0001120714031328518,6.338389647212861,4.167712904252244,1.5208316390377836,6.297999682525794,3.9023907544712224,1.6138823810275194,6.4753507884840165,4.538517228017251,1.426754700524275,1789,0,afffddda34ce6c343fb9f50ff49d0b7724acd46fc2fc059d76af30c1b85e8e9c,outputs/h800_heal_lidar_fcooper_runtime_graph_joint_ga_20260723_043415
F-Cooper,GA,0.3,0.3000979721546173,3.3322451092231216,8058388,6510268,0.1921128642601969,1.2377966621343393,0.46864819526672363,2.133796758634408,0.6870996757550174,0.5845522057384829,0.40583638891245827,0.5591627568019862,0.6872908342652919,0.5845554518886208,0.406603399895041,0.5594832286829846,0.00019115851027451392,3.2461501379144053e-06,0.0007670109825827498,0.0003204718809983742,6.338389647212861,4.503648641194926,1.4073899080926382,6.297999682525794,4.409929349397619,1.4281407214349315,6.4753507884840165,4.831873998045921,1.3401323774383895,1789,0,54ea10215af2a2c18fce3153d4cfce104c642826f5860e753da8cc7b649abeb7,outputs/h800_heal_lidar_fcooper_runtime_graph_joint_ga_20260723_043415
Disco,Greedy,0.05,0.05488842353224754,18.218777943449027,8128789,2435937,0.7003321158908171,3.3370275996464605,0.10806411504745483,9.253765688645709,0.7340671721347319,0.6624087684967831,0.5102756111421664,0.6355838505912271,0.7339041131003211,0.6628876002766488,0.5086699292527449,0.6351538808765715,-0.00016305903441082847,0.00047883177986574044,-0.0016056818894214508,-0.000429969714655587,6.7999675010199265,2.399763395551343,2.8335991429928624,6.7545396741479635,2.3512416519224644,2.872754346038909,6.955507133776944,2.5858919601887465,2.689790308667519,1789,0,aea2b5c405ef3073757fd174b287041844c8cff0fe8c3b88333ae59f97b7cc1c,outputs/h800_heal_lidar_disco_runtime_graph_joint_greedy_20260723_035226
Disco,Greedy,0.1,0.10080499947071075,9.92014290214399,8128789,3341957,0.5888739392792702,2.4323439828818865,0.162245973944664,6.16348113723341,0.7340671721347319,0.6624087684967831,0.5102756111421664,0.6355838505912271,0.7342886903269555,0.6628838951683773,0.5103487191430653,0.6358404348794661,0.00022151819222360203,0.00047512667159421706,7.31080008989915e-05,0.00025658428823893686,6.7999675010199265,2.6827071963781495,2.534740843205095,6.7545396741479635,2.6341436120371022,2.5642260517923594,6.955507133776944,2.8981850637743873,2.39995272238364,1789,0,4790ae1c5f96dd2c5902c29a974d135dc0d0e3832dc96f62591d0f1dce439ce4,outputs/h800_heal_lidar_disco_runtime_graph_joint_greedy_20260723_035226
