method,budget,actual_bops,mAP_fp32,mAP_prune_quant,mAP_prune_only,mAP_quant_only,delta_prune_vs_fp32,delta_quant_vs_fp32,delta_joint_vs_fp32,interaction_map,p50_fp32_ms,p50_prune_quant_ms,p50_prune_only_ms,p50_quant_only_ms,speedup_prune_quant,speedup_prune_only,speedup_quant_only,parameter_pruning_rate
ga,0.3,0.3042234480381012,0.7366168733797952,0.7365219734058283,0.7367665476561854,0.7367312656191546,0.00014967427639023256,0.00011439223935938436,-9.489997396694427e-05,-0.0003589664897165612,7.031602940211694,6.639321645100911,6.031342005978028,7.1860793977975845,1.0590845444881019,1.1658438425879756,0.9785033745058209,0.21013283033148022
ga,0.25,0.25451675057411194,0.7366168733797952,0.736830250814231,0.7366505640791052,0.736846226811343,3.369069931002944e-05,0.00022935343154784071,0.00021337743443583523,-4.966669642203492e-05,7.031602940211694,4.95099532417953,6.080440400789182,5.046602338552475,1.4202402708544182,1.1564298762469674,1.3933340628991544,0.2067855842977343
ga,0.2,0.2043001502752304,0.7366168733797952,0.7366043501544537,0.7366007261661446,0.7367134451351203,-1.6147213650619108e-05,9.657175532507001e-05,-1.2523225341509736e-05,-9.294776701596064e-05,7.031602940211694,4.88269926669697,6.116786971688271,4.971335021158059,1.4401056784659207,1.1495582521931327,1.4144295064173125,0.21348007636522603
ga,0.15,0.1545257717370987,0.7366168733797952,0.7365919423443251,0.7366007261661446,0.7367330548878899,-1.6147213650619108e-05,0.00011618150809467043,-2.4931035470077134e-05,-0.00012496532991412845,7.031602940211694,4.563746741041541,6.116786971688271,4.677444385985534,1.540752223820145,1.1495582521931327,1.503300169913221,0.21348007636522603
ga,0.1,0.10495740920305252,0.7366168733797952,0.7364727501880282,0.7366705264687538,0.7367489867615623,5.365308895854959e-05,0.00013211338176710719,-0.0001441231917670427,-0.00032988966249269946,7.031602940211694,3.492287049690882,6.045439979061484,3.5621206431339183,2.013466487765973,1.1631250933870498,1.973993484405222,0.22070816614944655
ga,0.05,0.0548066571354866,0.7366168733797952,0.7076843266685926,0.7363941676441774,0.707059365428874,-0.00022270573561777862,-0.029557507950921158,-0.0289325467112026,0.0008476669753363364,7.031602940211694,3.2444073197742305,5.729563068598509,3.3369503604869046,2.1672996782355316,1.2272494178045017,2.1071943483108004,0.44133142511763035
greedy,0.3,0.3019222021102905,0.7366168733797952,0.7367134477701122,0.7367156997129497,0.7367100556171456,9.882633315450029e-05,9.318223735044207e-05,9.657439031696136e-05,-9.5434180187981e-05,7.031602940211694,6.5822601318359375,6.101444674034913,7.237827560553948,1.068265732343584,1.1524488569297577,0.9715073869034715,0.21013283033148022
greedy,0.25,0.24907951056957245,0.7366168733797952,0.7368070928173373,0.7367156997129497,0.7368212567475325,9.882633315450029e-05,0.00020438336773731525,0.00019021943754204962,-0.00011299026334976592,7.031602940211694,6.6062820454438524,6.101444674034913,6.649174261838198,1.0643812800970514,1.1524488569297577,1.0575152136662112,0.21013283033148022
greedy,0.2,0.19677375257015228,0.7366168733797952,0.7366712460069236,0.7367156997129497,0.7366560107568199,9.882633315450029e-05,3.913737702465614e-05,5.4372627128373985e-05,-8.359108305078244e-05,7.031602940211694,4.724286341418822,6.101444674034913,4.812149951855342,1.4883947398708957,1.1524488569297577,1.4612185843254186,0.21013283033148022
greedy,0.15,0.14941340684890747,0.7366168733797952,0.7368024876293738,0.7367156997129497,0.7365646351466517,9.882633315450029e-05,-5.2238233143486745e-05,0.00018561424957863615,0.0001390261495676226,7.031602940211694,4.338139357666175,6.101444674034913,4.468003598352273,1.6208799119801776,1.1524488569297577,1.573768414780336,0.21013283033148022
greedy,0.1,0.09847785532474518,0.7366168733797952,0.7366619871735036,0.7366230502540919,0.7366980859423137,6.176874296714985e-06,8.121256251847342e-05,4.511379370841784e-05,-4.2275643106770566e-05,7.031602940211694,3.2618739642202854,5.9118846741815405,3.2828173134475946,2.155694247338131,1.1894012362792192,2.1419415912691004,0.22070816614944655
greedy,0.05,0.04999448359012604,0.7366168733797952,0.6997073997534994,0.7362532991909901,0.6987483193398277,-0.0003635741888050603,-0.03786855403996747,-0.03690947362629582,0.0013226546024767138,7.031602940211694,3.157032964130243,5.686806282028556,3.2278253541638455,2.2272820778572036,1.2364766076933136,2.1784335175200953,0.3886216325564875
