method,budget,actual_bops,bops_abs_delta,variant,parameter_count_pruned,physical_parameter_mib_fp32,parameter_reduction,canonical_int8_count,canonical_fp16_count,canonical_fp32_count,AP@0.3,AP@0.5,AP@0.7,mAP,forward_p50_ms,forward_p90_ms,forward_p99_ms,speedup_vs_fresh_fp32,num_evaluated_frames,num_skipped_frames,source_engine_reused,cache_hit,engine_built_this_run,evaluation_executed_this_run,all_deployment_checks_passed,candidate_hash,engine_hash,artifact_dir,resource_artifact_dir
ga,0.3,0.3042234480381012,0.004223448038101207,prune_only,4316459,16.465984344482422,0.21013283033148022,0,1,69,0.8262961662385816,0.7815751186434301,0.6024283580865446,0.7367665476561854,6.031342005978028,6.257188552990556,27.948410470643157,1.1658438425879756,1789,0,False,False,True,True,True,144f4a28d1df562bab7437acba436c16bb24ce431f5e0d840910abc9cea47c6e,da7aa305ac08104fff6d52383e0d979bf1f7f2f0f31504040c802665838d4779,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.30/prune_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.30/prune_only
ga,0.3,0.3042234480381012,0.004223448038101207,prune_quant,4316459,16.465984344482422,0.21013283033148022,0,26,44,0.8260782173078257,0.7813958345845804,0.6020918683250785,0.7365219734058283,6.639321645100911,6.879790623982748,25.580293573425053,1.0590845444881019,1789,0,True,False,False,True,True,cb7b234ae1783ad6c3b616e7708e6d420a4bb478b2922c50118d88e832afc801,2a18f8e1e1aeb90af046ad7b8a38934bf222ff0d6dec06d3ba1945fb8b0e98fb,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.30/prune_quant,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_domain_width_joint_ga_20260716_234248/round_000/stage2/cb7b234ae1783ad6c3b616e7708e6d420a4bb478b2922c50118d88e832afc801
ga,0.3,0.3042234480381012,0.004223448038101207,quant_only,5464791,20.84652328491211,0.0,0,26,44,0.8262086924602295,0.7816929421831942,0.6022921622140404,0.7367312656191546,7.1860793977975845,7.338799738014738,25.202497160048203,0.9785033745058209,1789,0,False,False,True,True,True,5c2d60c30079d1a2e52f963053d6ac09ffbbe24a8bbfc1c1687daac672d411bd,2748bf5bfb7dc4982c17917905b246cd2dabcecf54ee1ab8bb329a0084fd747e,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.30/quant_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.30/quant_only
ga,0.25,0.25451675057411194,0.0045167505741119385,prune_only,4334751,16.535762786865234,0.2067855842977343,0,1,69,0.8261621461620908,0.7815333845319034,0.6022561615433214,0.7366505640791052,6.080440400789182,6.323767950137457,30.0509838200947,1.1564298762469674,1789,0,False,False,True,True,True,bd74071c3f56c8388fdca2d583a4cb086b53ef219fbe73603206c1e4fbb9dd68,c9279cf04147c6c6d5d0196e426e098690a550af59b9cec493411f4e6f0a046a,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.25/prune_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.25/prune_only
ga,0.25,0.25451675057411194,0.0045167505741119385,prune_quant,4334751,16.535762786865234,0.2067855842977343,1,29,40,0.8262382223573896,0.7816680990024752,0.6025844310828282,0.736830250814231,4.95099532417953,5.260689618686834,27.682552045818035,1.4202402708544182,1789,0,True,False,False,True,True,9a41b6c0bac0448e37b0d843fe8617e7256edde30c9bf36def03fa34ef18c204,6c950f8ddadf52420fe8581a8fca2afa9cf73b1e793cd0287ceddb310e7f6233,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.25/prune_quant,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_domain_width_joint_ga_20260716_234248/round_001/stage2/9a41b6c0bac0448e37b0d843fe8617e7256edde30c9bf36def03fa34ef18c204
ga,0.25,0.25451675057411194,0.0045167505741119385,quant_only,5464791,20.84652328491211,0.0,1,29,40,0.8261996714158708,0.7817521349426834,0.6025868740754751,0.736846226811343,5.046602338552475,5.274212344860038,25.08239063432969,1.3933340628991544,1789,0,False,False,True,True,True,065d4cd6646b129d6ad3952eef7aa9c2781f230fc380a0439615511c8cc84162,7a2a13752e0d2c96f27b18bf1b6f47acc174b6d88c21c73791cf93b2e9827cba,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.25/quant_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.25/quant_only
ga,0.2,0.2043001502752304,0.004300150275230397,prune_only,4298167,16.39620590209961,0.21348007636522603,0,1,69,0.8261361426432208,0.7815729607566596,0.6020930750985529,0.7366007261661446,6.116786971688271,6.379766513903936,30.7768206919081,1.1495582521931327,1789,0,False,False,True,True,True,087598d6760f2e758d4e6a8e106cf26ada1e7837eae667083cbdc717e5c5379e,f9919a0d448f23cddffc4dffa911f500402ccfaf5a09e9dad1dac821b2a1fbd2,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.20/prune_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.20/prune_only
ga,0.2,0.2043001502752304,0.004300150275230397,prune_quant,4298167,16.39620590209961,0.21348007636522603,3,29,38,0.826223275044135,0.781510262280728,0.6020795131384981,0.7366043501544537,4.88269926669697,5.11178948606054,25.35944398180822,1.4401056784659207,1789,0,True,False,False,True,True,386f5ec9f802597a75d49f4129aa250d7557d11fed102e41283ca3f3faf0e60e,932907fbb35315efc2c5ff1615465d73aa6d6c1ac74d71fd28034b250563a8d4,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.20/prune_quant,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_domain_width_joint_ga_20260716_234248/round_002/stage2/386f5ec9f802597a75d49f4129aa250d7557d11fed102e41283ca3f3faf0e60e
ga,0.2,0.2043001502752304,0.004300150275230397,quant_only,5464791,20.84652328491211,0.0,3,29,38,0.8262759739755381,0.7817711203245573,0.6020932411052654,0.7367134451351203,4.971335021158059,5.184443558876713,25.574755842473753,1.4144295064173125,1789,0,False,False,True,True,True,02ee247859bf54fd8c99d858f52da849c350a8be47a92da9b8230778411ea80f,f880f95066d88cedca847e79a5c55cc87a46d9817beaa71f0861c249cef89e41,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.20/quant_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.20/quant_only
ga,0.15,0.1545257717370987,0.004525771737098699,prune_only,4298167,16.39620590209961,0.21348007636522603,0,1,69,0.8261361426432208,0.7815729607566596,0.6020930750985529,0.7366007261661446,6.116786971688271,6.379766513903936,30.7768206919081,1.1495582521931327,1789,0,False,True,False,False,True,087598d6760f2e758d4e6a8e106cf26ada1e7837eae667083cbdc717e5c5379e,f9919a0d448f23cddffc4dffa911f500402ccfaf5a09e9dad1dac821b2a1fbd2,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.20/prune_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.20/prune_only
ga,0.15,0.1545257717370987,0.004525771737098699,prune_quant,4298167,16.39620590209961,0.21348007636522603,10,31,29,0.8261801546959558,0.7812602213270949,0.6023354510099247,0.7365919423443251,4.563746741041541,4.821615216011803,26.92598707972775,1.540752223820145,1789,0,True,False,False,True,True,f7d76246679b40d55803dd30470f0de70303c1c30822b6d9f87ed1e5b3542cc4,ebe44ee96e4652e6b66b13dc89033b05e3ede730446d60485a0623665e02fe62,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.15/prune_quant,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_domain_width_joint_ga_20260716_234248/round_003/stage2/f7d76246679b40d55803dd30470f0de70303c1c30822b6d9f87ed1e5b3542cc4
