assigned_method,gpu_id,budget,actual_bops,fp32_mAP,prune_quant_mAP,prune_only_mAP,quant_only_mAP,prune_quant_delta_vs_fp32,prune_only_delta_vs_fp32,quant_only_delta_vs_fp32,pq_interaction_mAP,prune_quant_p50_ms,prune_only_p50_ms,quant_only_p50_ms,prune_quant_speedup,prune_only_speedup,quant_only_speedup
ga,0,0.3,0.3042234480381012,0.7367428107910049,0.7365716122674267,0.7364890968931704,0.7365752589442573,-0.00017119852357816434,-0.0002537138978344622,-0.00016755184674754897,0.0002500672210038468,6.744222327445944,6.237608691056569,7.314769628768166,1.0851073589261917,1.1732389189848833,1.000469686559129
ga,0,0.25,0.25451675057411194,0.7367428107910049,0.7368873531525167,0.7367400956388138,0.7367617678652293,0.00014454236151184574,-2.7151521910795395e-06,1.8957074224390524e-05,0.00012830043947853476,5.0045272801071405,6.246136734262109,5.207521220048268,1.4623169918237011,1.1716370596889378,1.405314538051578
ga,0,0.2,0.2043001502752304,0.7367428107910049,0.7366959248109665,0.7366987933135402,0.7366203890307852,-4.6885980038435804e-05,-4.401747746474172e-05,-0.0001224217602197042,0.0001195532576460101,4.943730387215813,6.120482692494988,5.011392990127206,1.4803002398088612,1.195690870381775,1.4603135878912905
ga,0,0.15,0.1545257717370987,0.7367428107910049,0.7366727218799319,0.7366898256615366,0.7366082392500125,-7.0088911072963e-05,-5.298512946827483e-05,-0.00013457154099238977,0.0001174677593877016,4.668939393013716,6.184090704967578,4.844787608211239,1.5674234899464294,1.183392292720954,1.510531703256214
ga,0,0.1,0.10495740920305252,0.7367428107910049,0.7366537524492024,0.736774154925493,0.7368102854481435,-8.905834180250594e-05,3.134413448813156e-05,6.74746571386331e-05,-0.0001878771334292706,3.6175313871353865,6.226288620382547,3.6670240418364606,2.0229832155073537,1.1753719950901163,1.9956796558336538
ga,0,0.05,0.0548066571354866,0.7367428107910049,0.7076251527812172,0.7362975310105965,0.7074210999816097,-0.029117658009787717,-0.0004452797804084252,-0.029321710809395163,0.0006493325800158711,3.3379599917680025,5.819941638037562,3.4920840989798307,2.1924185118437327,1.257436196596219,2.09565550837789
greedy,1,0.3,0.3019222021102905,0.7367543010888321,0.7368239562678945,0.7367038698569841,0.7366663642980104,6.965517906243335e-05,-5.043123184800269e-05,-8.79367908217521e-05,0.00020802320173218813,6.731912959367037,6.269138306379318,7.364058246215184,1.0813694363380382,1.161193862151652,0.9885425507177266
greedy,1,0.25,0.24907951056957245,0.7367543010888321,0.7366996833380149,0.7366780400908618,0.7367809021127307,-5.4617750817165245e-05,-7.626099797031216e-05,2.660102389862029e-05,-4.9577767454733745e-06,6.715338289116819,6.226080392176907,6.873140344396234,1.0840384518148927,1.1692243697165263,1.0591497565276249
greedy,1,0.2,0.19677375257015228,0.7367543010888321,0.7366515353504726,0.7366715082196933,0.7367536205040293,-0.00010276573835954483,-8.279286913881467e-05,-6.805848028479389e-07,-1.9292284417882222e-05,4.870353965088725,6.106853252276778,5.008043333267172,1.4946931936629475,1.1920517198662715,1.45359862882782
greedy,1,0.15,0.14941340684890747,0.7367543010888321,0.7368801934446254,0.7367610232040759,0.7365982694465618,0.00012589235579330005,6.72211524377353e-06,-0.00015603164227029342,0.00027520188281981994,4.539713030681014,6.203552940860391,4.60562373821934,1.6035561880561031,1.1734702664337742,1.5806078255888942
greedy,1,0.1,0.09847785532474518,0.7367543010888321,0.7366701966950062,0.7367145745814382,0.7367550757023548,-8.410439382589008e-05,-3.972650739392236e-05,7.746135226582851e-07,-4.5152499954626e-05,3.4260553463051715,6.13579829223454,3.467040446897348,2.124800736274807,1.1864283302077625,2.099682721862115
greedy,1,0.05,0.04999448359012604,0.7367543010888321,0.699693745058363,0.7363744636294914,0.6987796333613264,-0.037060556030469094,-0.0003798374593406706,-0.037974667727505684,0.001293949156377261,3.29477332221965,5.80084091052413,3.381131992985805,2.209464570219122,1.2549361436788165,2.1530318654963048
