assigned_method,gpu_id,budget,actual_bops,fp32_mAP,prune_quant_mAP,prune_only_mAP,quant_only_mAP,prune_quant_delta_vs_fp32,prune_only_delta_vs_fp32,quant_only_delta_vs_fp32,pq_interaction_mAP,prune_quant_p50_ms,prune_only_p50_ms,quant_only_p50_ms,prune_quant_speedup,prune_only_speedup,quant_only_speedup
ga,0,0.3,0.3042234480381012,0.7367095694407199,0.7367242542666707,0.736682364871562,0.7367220302034114,1.4684825950794789e-05,-2.7204569157834868e-05,1.2460762691568483e-05,2.9428632417061173e-05,6.698779373740156,6.148081785067916,7.318919415896137,1.0703400751861987,1.1661150652199068,0.9796385964581645
ga,0,0.25,0.25451675057411194,0.7367095694407199,0.7367317940501651,0.7367096240705824,0.7367427445580835,2.2224609445231636e-05,5.462986252258162e-08,3.3175117363670736e-05,-1.1005137780961682e-05,5.020241703217229,6.180445679153005,5.138671273986499,1.4281482470106381,1.1600455763137454,1.3953579334253334
ga,0,0.2,0.2043001502752304,0.7367095694407199,0.7366465749194381,0.7366615306422537,0.7367432622929513,-6.29945212817784e-05,-4.803879846615455e-05,3.369285223142615e-05,-4.864857504705e-05,4.905585463469227,6.14653566541771,5.022647821654876,1.4615508847289866,1.1666049435075123,1.427445957048434
ga,0,0.15,0.1545257717370987,0.7367095694407199,0.7366252893948303,0.7367511777513747,0.7366713186422043,-8.428004588956206e-05,4.160831065480597e-05,-3.825079851560442e-05,-8.763755802876361e-05,4.6547848886499805,6.150477814177672,4.748374052966635,1.540377935203588,1.1657489623538304,1.5100157119330324
ga,0,0.1,0.10495740920305252,0.7367095694407199,0.7366762089160428,0.7367343858291422,0.7367416522810402,-3.3360524677061854e-05,2.4816388422332913e-05,3.2082840320302175e-05,-9.025975341969694e-05,3.6186170298606157,6.203050212934613,3.671002993360162,1.9820415423935855,1.1558285183116883,1.9539841925071362
ga,0,0.05,0.0548066571354866,0.7367095694407199,0.7076125324441368,0.7363489411369679,0.7074567655292355,-0.02909703699658306,-0.000360628303751942,-0.029252803911484326,0.0005163952186532095,3.2734620540092387,5.8237183218201,3.3912083910157285,2.190797084165818,1.231105893330029,2.1145922065895055
greedy,1,0.3,0.3019222021102905,0.7366413509160288,0.7366784028373051,0.7366710733578035,0.7366719911698107,3.705192127634316e-05,2.9722441774682196e-05,3.064025378196611e-05,-2.3310774280305147e-05,6.691086090480288,6.169291477029523,7.3314847114185495,1.0679119558723185,1.15832259872284,0.9747408577941664
greedy,1,0.25,0.24907951056957245,0.7366413509160288,0.7366324885590878,0.7366869168354843,0.7366831912573656,-8.862356940975147e-06,4.5565919455481385e-05,4.184034133680736e-05,-9.62686177332639e-05,6.6452818146596355,6.152485016112527,6.7908016343911495,1.0752739996610594,1.1614288904233636,1.0522507874697369
greedy,1,0.2,0.19677375257015228,0.7366413509160288,0.7366868906332236,0.7366531701610087,0.7366530977112764,4.553971719478689e-05,1.181924497994924e-05,1.1746795247624675e-05,2.1973676967212974e-05,4.8574462843437995,6.15047519095242,4.984058874348799,1.4710083266023257,1.1618136896501912,1.4337401334349775
greedy,1,0.15,0.14941340684890747,0.7366413509160288,0.7368227299995983,0.7366521161692556,0.7366878464775631,0.0001813790835695217,1.0765253226852067e-05,4.64955615343543e-05,0.00012411826880831534,4.481142200529575,6.1682176776230335,4.635739078124365,1.5945796362596245,1.158483516615652,1.5415013605415435
greedy,1,0.1,0.09847785532474518,0.7366413509160288,0.7367653381358541,0.7366497013486415,0.7366445873314333,0.00012398721982531669,8.350432612713732e-06,3.2364154045616544e-06,0.0001124003718080413,3.453223562488953,6.137260918815931,3.4927017521113157,2.0698002009490537,1.1643020745191475,2.046218271449297
greedy,1,0.05,0.04999448359012604,0.7366413509160288,0.6996025174774354,0.7363368645102006,0.6988338542999408,-0.03703883343859338,-0.00030448640582814157,-0.037807496616087954,0.001073149583322719,3.3294953095416226,5.876629846170545,3.438834489012758,2.146338141065974,1.2159840830086321,2.078459569017449
